"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Oct 03 20:50:29 GMT 2025","Fri Oct 03 20:50:29 GMT 2025","63","","","","","","Age restriction upon login",""
"passed","Fri Oct 03 20:50:29 GMT 2025","Fri Oct 03 20:50:29 GMT 2025","2","","","","","","Age restriction upon login",""
"broken","Fri Oct 03 20:50:29 GMT 2025","Fri Oct 03 20:50:29 GMT 2025","31","","","","","","Enter invalid coupon",""
"broken","Fri Oct 03 20:50:32 GMT 2025","Fri Oct 03 20:50:32 GMT 2025","2","","","","","","Picking a random country for checkout",""
"broken","Fri Oct 03 20:50:32 GMT 2025","Fri Oct 03 20:50:32 GMT 2025","2","","","","","","Store link functionality",""
"broken","Fri Oct 03 20:50:32 GMT 2025","Fri Oct 03 20:50:32 GMT 2025","1","","","","","","Women link functionality",""
"broken","Fri Oct 03 20:50:29 GMT 2025","Fri Oct 03 20:50:29 GMT 2025","35","","","","","","Buying a product",""
"broken","Fri Oct 03 20:50:29 GMT 2025","Fri Oct 03 20:50:29 GMT 2025","35","","","","","","Search functionality using Selenium Actions",""
"broken","Fri Oct 03 20:50:29 GMT 2025","Fri Oct 03 20:50:29 GMT 2025","35","","","","","","Men link functionality",""
