"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Oct 03 21:17:10 GMT 2025","Fri Oct 03 21:17:10 GMT 2025","112","","","","","","Age restriction upon login",""
"broken","Fri Oct 03 21:17:10 GMT 2025","Fri Oct 03 21:17:10 GMT 2025","41","","","","","","Men link functionality",""
"broken","Fri Oct 03 21:17:11 GMT 2025","Fri Oct 03 21:17:11 GMT 2025","1","","","","","","Search functionality using Selenium Actions",""
"broken","Fri Oct 03 21:17:11 GMT 2025","Fri Oct 03 21:17:11 GMT 2025","1","","","","","","Store link functionality",""
"broken","Fri Oct 03 21:17:10 GMT 2025","Fri Oct 03 21:17:10 GMT 2025","41","","","","","","Enter invalid coupon",""
"passed","Fri Oct 03 21:17:10 GMT 2025","Fri Oct 03 21:17:10 GMT 2025","2","","","","","","Age restriction upon login",""
"broken","Fri Oct 03 21:17:11 GMT 2025","Fri Oct 03 21:17:11 GMT 2025","2","","","","","","Women link functionality",""
"broken","Fri Oct 03 21:17:10 GMT 2025","Fri Oct 03 21:17:10 GMT 2025","41","","","","","","Picking a random country for checkout",""
"broken","Fri Oct 03 21:17:10 GMT 2025","Fri Oct 03 21:17:10 GMT 2025","38","","","","","","Buying a product",""
